,Region,Consumption (GWh)
KZ.1_1_AC,Almaty,12668.035
KZ.2_1_AC,Akmola,10220.244
KZ.3_1_AC,Aktobe,7003.652
KZ.4_1_AC,Atyrau,6633.614
KZ.5_1_AC,East Kazakhstan,10141.381
KZ.6_1_AC,Mangystau,5237.189
KZ.7_1_AC,North Kazakhstan,1526.915
KZ.8_1_AC,Pavlodar,19037.441
KZ.9_1_AC,Karaganda,19060.667
KZ.10_1_AC,Kostanay,4549.648
KZ.11_1_AC,Kyzylorda,1833.042
KZ.12_1_AC,Turkestan,5964.851
KZ.13_1_AC,West Kazakhstan,2482.916
KZ.14_1_AC,Zhambyl,4798.349
